"id" ;"username"        ;"password"        ;"role"
"1"  ;"Frank.Jones"     ;"7Me5NRbrcLz7RWb" ;"1"
"2"  ;"Orin_Marquardt"  ;"rM2VexCg4Z01m4M" ;"4"
"3"  ;"Peyton_Denesik"  ;"FtLVGEbVw6MTalG" ;"4"
"4"  ;"Suzanne_Ward79"  ;"xV2yMNacPQrivzz" ;"4"
"5"  ;"Jorge90"         ;"JAqjCXKzc9NvKJm" ;"4"
"6"  ;"Frank_Bartell73" ;"8HLeD4K0nssniqp" ;"4"
"7"  ;"Casper.Beahan"   ;"QeBZkDisyCqdqqs" ;"4"
"8"  ;"Etha.Kuhn82"     ;"C2zSS19u80y8F9v" ;"4"
"9"  ;"Shaniya_Quigley" ;"9xIa2HRHy2wgFGA" ;"2"
"10" ;"Ruthe.Lang"      ;"_SXr8uqD9CU29Sf" ;"3"
