"id" ;"reference" ;"username"                      ;"password"        ;"type"          ;"tel"          ;"coef_vente" ;"rue"                       ;"cp"     ;"ville"           ;"id_employe"
"1"  ;"20614417"  ;"Gayle.Klein@gmail.com"         ;"LA905RtXLINXNhn" ;"Particulier"   ;"+33489639251" ;"2.31"       ;"7783 Bartell Plaza"        ;"285201" ;"Muellermouth"    ;"2"
"2"  ;"39233178"  ;"Antonia_Schowalter@gmail.com"  ;"8CpLITiRR1ydIZs" ;"Particulier"   ;"+33975374362" ;"10.21"      ;"17572 Emery Circles"       ;"601300" ;"North Odellland" ;"2"
"3"  ;"72831361"  ;"Bryan.Schamberger@hotmail.com" ;"p3FiTdPQjVvDvW3" ;"Particulier"   ;"+33725914197" ;"38.15"      ;"57282 Predovic Stravenue"  ;"974257" ;"Lake Elsaburgh"  ;"2"
"4"  ;"17982237"  ;"Lucille.Romaguera45@gmail.com" ;"pRqnC1sv2OPNePq" ;"Professionnel" ;"+33168435690" ;"15.78"      ;"53793 Hahn Canyon"         ;"738035" ;"Denton"          ;"3"
"5"  ;"18251883"  ;"Enrique19@hotmail.com"         ;"gZxbAqNUf964RwG" ;"Professionnel" ;"+33327969376" ;"31.62"      ;"158 Herman Radial"         ;"848283" ;"Goldenton"       ;"4"
"6"  ;"61804243"  ;"Daniel42@yahoo.com"            ;"LtAmp52_hP3oNo0" ;"Professionnel" ;"+33837447734" ;"8.35"       ;"866 Kessler Forks"         ;"338195" ;"Moenstad"        ;"5"
"7"  ;"37248993"  ;"Karla13@yahoo.com"             ;"NMyVtFKSGwZyuhD" ;"Professionnel" ;"+33129515785" ;"14.59"      ;"79950 Veda Light"          ;"732134" ;"Port Warren"     ;"6"
"8"  ;"90206310"  ;"Ora_Quigley34@gmail.com"       ;"uTif5Z1uQeAUhkV" ;"Professionnel" ;"+33057656275" ;"0.85"       ;"96627 Jacobson Trafficway" ;"007805" ;"Josefort"        ;"7"
"9"  ;"00004567"  ;"Leona_Wilkinson@hotmail.com"   ;"w4SrDeoBJ1QraVV" ;"Professionnel" ;"+33468101315" ;"36.47"      ;"31650 Luisa Vista"         ;"068150" ;"Berylborough"    ;"8"
"10" ;"89097093"  ;"Cedric_Paucek@gmail.com"       ;"GgzGsW4fVUXaI0b" ;"Particulier"   ;"+33560568282" ;"39.59"      ;"756 Madisen Underpass"     ;"100515" ;"Warrentown"      ;"2"
