"id" ;"username"        ;"password"        ;"role"
"1"  ;"Frank.Jones"     ;"7Me5NRbrcLz7RWb" ;"Service relationnel"
"2"  ;"Orin_Marquardt"  ;"rM2VexCg4Z01m4M" ;"Commercial"
"3"  ;"Peyton_Denesik"  ;"FtLVGEbVw6MTalG" ;"Comptabilité"
"4"  ;"Suzanne_Ward79"  ;"xV2yMNacPQrivzz" ;"Commercial"
"5"  ;"Jorge90"         ;"JAqjCXKzc9NvKJm" ;"Service après-vente"
"6"  ;"Frank_Bartell73" ;"8HLeD4K0nssniqp" ;"Comptabilité"
"7"  ;"Casper.Beahan"   ;"QeBZkDisyCqdqqs" ;"Commercial"
"8"  ;"Etha.Kuhn82"     ;"C2zSS19u80y8F9v" ;"Service relationnel"
"9"  ;"Shaniya_Quigley" ;"9xIa2HRHy2wgFGA" ;"Service après-vente"
"10" ;"Ruthe.Lang"      ;"_SXr8uqD9CU29Sf" ;"Service après-vente"
